Penguin ID,Title,Authors,URL,ISBN,Image
34410,Guy Mannering,Walter Scott,https://www.penguin.co.uk/books/34410/guy-mannering-by-walter-scott-ed-jane-milgate/9780140436570,9780140436570,https://cdn.penguin.co.uk/dam-assets/books/9780140436570/9780140436570-jacket-large.jpg
177998,Mozart's Journey to Prague and Selected Poems,Eduard Mörike,https://www.penguin.co.uk/books/177998/mozarts-journey-to-prague-and-selected-poems-by-eduard-morike-trans-david-luke/9780140447378,9780140447378,https://cdn.penguin.co.uk/dam-assets/books/9780140447378/9780140447378-jacket-large.jpg
60357,The Diary of Samuel Pepys: A Selection,Samuel Pepys,https://www.penguin.co.uk/books/60357/the-diary-of-samuel-pepys-a-selection-by-samuel-pepys-ed-robert-latham/9780141439938,9780141439938,https://cdn.penguin.co.uk/dam-assets/books/9780141439938/9780141439938-jacket-large.jpg
34580,The Fiddler of the Reels and Other Stories 1888-1900,Thomas Hardy,https://www.penguin.co.uk/books/34580/the-fiddler-of-the-reels-and-other-stories-1888-1900-by-thomas-hardy-ed-keith-wilson/9780140439007,9780140439007,https://cdn.penguin.co.uk/dam-assets/books/9780140439007/9780140439007-jacket-large.jpg
35338,Democracy in America,Alexis Tocqueville,https://www.penguin.co.uk/books/35338/democracy-in-america-by-alexis-de-tocqueville-trans-gerald-bevan-ed-isaac-kramnick/9780140447606,9780140447606,https://cdn.penguin.co.uk/dam-assets/books/9780140447606/9780140447606-jacket-large.jpg
133140,Nature and Selected Essays,Ralph Waldo Emerson,https://www.penguin.co.uk/books/133140/nature-and-selected-essays-by-emerson-ralph-waldo/9780142437629,9780142437629,https://cdn.penguin.co.uk/dam-assets/books/9780142437629/9780142437629-jacket-large.jpg
34489,Phineas Redux,Anthony Trollope,https://www.penguin.co.uk/books/34489/phineas-redux-by-anthony-trollope-editor-gregg-hecimovich/9780140437621,9780140437621,https://cdn.penguin.co.uk/dam-assets/books/9780140437621/9780140437621-jacket-large.jpg
33359,The Awakening and Selected Stories,Kate Chopin,https://www.penguin.co.uk/books/33359/the-awakening-and-selected-stories-by-kate-chopin/9780142437322,9780142437322,https://cdn.penguin.co.uk/dam-assets/books/9780142437322/9780142437322-jacket-large.jpg
35450,The Black Tulip,Alexandre Dumas,https://www.penguin.co.uk/books/35450/the-black-tulip-by-alexandre-dumas-trans-robin-buss/9780140448924,9780140448924,https://cdn.penguin.co.uk/dam-assets/books/9780140448924/9780140448924-jacket-large.jpg
35358,The Consolation of Philosophy,Ancius Boethius,https://www.penguin.co.uk/books/35358/the-consolation-of-philosophy-by-boethiustranslated-with-an-introduction-and-new-preface-by-victor-watts/9780140447804,9780140447804,https://cdn.penguin.co.uk/dam-assets/books/9780140447804/9780140447804-jacket-large.jpg
